tract2010,tract2020,weight,allocated_pop2010,method
55021971200,55021971200,0.99870856,5193.28,population
55021971200,55027961800,0.00129144,6.72,population
55023960100,55023960100,0.99928622,2800.00,population
55023960100,55023960200,0.00071378,2.00,population
55023960200,55023960200,1.00000000,2291.00,population
55023960300,55023960300,1.00000000,2486.00,population
55023960400,55023960400,1.00000000,3233.00,population
55023960500,55023960500,1.00000000,1994.00,population
55023960600,55023960600,1.00000000,3838.00,population
55025000100,55025000100,0.99681546,2595.71,population
55025000100,55025010100,0.00318454,8.29,population
55025000201,55025000201,1.00000000,2149.00,population
55025000202,55025000202,1.00000000,3016.00,population
55025000204,55025000204,1.00000000,5012.00,population
55025000205,55025000205,0.98478483,5052.93,population
55025000205,55025011000,0.01521517,78.07,population
55025000300,55025000301,0.61858736,3328.00,population
55025000300,55025000302,0.38141264,2052.00,population
55025000401,55025000401,1.00000000,3148.00,population
55025000402,55025000402,1.00000000,2451.00,population
55025000405,55025000409,0.71341781,4110.00,population
55025000405,55025000410,0.28658219,1651.00,population
55025000406,55025000406,1.00000000,2968.00,population
55025000407,55025000407,1.00000000,5661.00,population
55025000408,55025000408,1.00000000,1685.00,population
55025000501,55025000501,1.00000000,4670.00,population
55025000503,55025000505,0.53590218,3769.00,population
55025000503,55025000506,0.46409782,3264.00,population
55025000504,55025000504,1.00000000,6738.00,population
55025000600,55025000600,1.00000000,5647.00,population
55025000700,55025000700,0.99988699,3210.64,population
55025000700,55025001402,0.00011301,0.36,population
55025000800,55025000800,1.00000000,3557.00,population
55025000901,55025000901,1.00000000,2142.00,population
55025000902,55025000902,1.00000000,5310.00,population
55025001000,55025001000,1.00000000,2301.00,population
55025001101,55025001101,1.00000000,4197.00,population
55025001102,55025001102,1.00000000,3150.00,population
55025001200,55025001200,1.00000000,5890.00,population
55025001300,55025001300,1.00000000,2401.00,population
55025001401,55025001401,1.00000000,5941.00,population
55025001402,55025001402,1.00000000,5373.00,population
55025001403,55025001404,0.69603754,5340.00,population
55025001403,55025001405,0.30396246,2332.00,population
55025001501,55025001501,1.00000000,1999.00,population
55025001502,55025001502,0.99998589,5398.92,population
55025001502,55025010600,0.00001411,0.08,population
55025001603,55025001603,1.00000000,3414.00,population
55025001604,55025001604,1.00000000,5053.00,population
55025001605,55025001605,1.00000000,2389.00,population
55025001606,55025001606,1.00000000,5463.00,population
55025001704,55025001704,1.00000000,3434.00,population
55025001705,55025001706,0.59710287,2432.00,population
55025001705,55025001707,0.40289713,1641.00,population
55025001802,55025001802,1.00000000,2784.00,population
55025001804,55025001804,0.99909910,3323.00,population
55025001804,55025010200,0.00090090,3.00,population
55025001900,55025001901,0.62234217,3805.00,population
55025001900,55025001902,0.37727724,2306.67,population
55025001900,55025002000,0.00038060,2.33,population
55025002000,55025002000,1.00000000,5875.00,population
55025002100,55025002100,1.00000000,4850.00,population
55025002200,55025002200,1.00000000,4254.00,population
55025002301,55025002301,1.00000000,2994.00,population
55025002302,55025002302,1.00000000,1810.00,population
55025002401,55025002401,0.99693044,3406.51,population
55025002401,55025002402,0.00306956,10.49,population
55025002402,55025002402,1.00000000,3407.00,population
55025002500,55025002500,0.99834413,1732.13,population
55025002500,55025011201,0.00165587,2.87,population
55025002601,55025002601,1.00000000,1809.00,population
55025002602,55025002602,1.00000000,5576.00,population
55025002603,55025002603,1.00000000,5249.00,population
55025002700,55025002700,1.00000000,3166.00,population
55025002800,55025002800,1.00000000,2233.00,population
55025002900,55025002900,1.00000000,3175.00,population
55025003001,55025003001,1.00000000,5134.00,population
55025003002,55025003002,1.00000000,3732.00,population
55025003100,55025003100,1.00000000,6422.00,population
55025003200,55025003200,0.98550700,2737.74,population
55025003200,55025010100,0.01449300,40.26,population
55025010100,55025000100,0.00013030,0.20,population
55025010100,55025000800,0.00016503,0.25,population
55025010100,55025010100,0.99970467,1537.55,population
55025010200,55025002301,0.00100813,1.28,population
55025010200,55025010200,0.99899187,1266.72,population
55025010300,55025010300,1.00000000,3404.00,population
55025010400,55025010400,1.00000000,3299.00,population
55025010501,55025010501,1.00000000,2817.00,population
55025010502,55025010503,0.54879501,4261.94,population
55025010502,55025010504,0.45068246,3500.00,population
55025010502,55025012002,0.00052252,4.06,population
55025010600,55025001502,0.00000363,0.02,population
55025010600,55025010600,0.99999637,5140.98,population
55025010701,55025010701,1.00000000,5952.00,population
55025010702,55025010702,0.99999987,6290.00,population
55025010702,55025012400,0.00000013,0.00,population
55025010800,55025010801,0.51971765,5522.00,population
55025010800,55025010802,0.48028235,5103.00,population
55025010901,55025010905,0.41525123,2347.00,population
55025010901,55025010906,0.58474877,3305.00,population
55025010903,55025010903,0.99995118,2540.88,population
55025010903,55025010907,0.00004882,0.12,population
55025010904,55025010907,0.49857585,4026.00,population
55025010904,55025010908,0.50128826,4047.90,population
55025010904,55025013000,0.00013589,1.10,population
55025011000,55025000205,0.00250811,10.46,population
55025011000,55025011000,0.99749189,4161.54,population
55025011101,55025011101,1.00000000,4573.00,population
55025011102,55025011103,0.54552152,4381.08,population
55025011102,55025011104,0.45447848,3649.92,population
55025011200,55025010908,0.00060457,5.10,population
55025011200,55025011201,0.45469242,3837.60,population
55025011200,55025011202,0.54452175,4595.76,population
55025011200,55025011301,0.00001586,0.13,population
55025011200,55025011302,0.00016540,1.40,population
55025011301,55025011301,1.00000000,6317.00,population
55025011302,55025011302,1.00000000,3015.00,population
55025011401,55025011403,0.33721790,2241.49,population
55025011401,55025011406,0.36542801,2429.00,population
55025011401,55025011407,0.29650604,1970.88,population
55025011401,55025012002,0.00084805,5.64,population
55025011402,55025011404,0.65970380,5969.00,population
55025011402,55025011405,0.33071323,2992.29,population
55025011402,55025011506,0.00956074,86.51,population
55025011402,55025011700,0.00002223,0.20,population
55025011503,55025011507,0.56479418,4816.00,population
55025011503,55025011508,0.43520582,3711.00,population
55025011504,55025011504,1.00000000,3770.00,population
55025011505,55025011505,1.00000000,4264.00,population
55025011506,55025011506,1.00000000,4785.00,population
55025011600,55025011600,1.00000000,6257.00,population
55025011700,55025011700,0.99984580,3899.40,population
55025011700,55025011800,0.00015420,0.60,population
55025011800,55025011800,1.00000000,5890.00,population
55025011900,55025011900,0.99997708,6700.85,population
55025011900,55025012002,0.00000038,0.00,population
55025011900,55055100601,0.00000251,0.02,population
55025011900,55055100602,0.00002003,0.13,population
55025012001,55025011700,0.00024036,2.00,population
55025012001,55025012003,0.72190842,6007.00,population
55025012001,55025012004,0.27785122,2312.00,population
55025012002,55025010600,0.00073813,3.55,population
55025012002,55025011700,0.00083264,4.00,population
55025012002,55025011900,0.00085612,4.11,population
55025012002,55025012002,0.99754502,4792.21,population
55025012002,55025012100,0.00002809,0.13,population
55025012100,55025011900,0.00011056,0.29,population
55025012100,55025012100,0.99982450,2636.54,population
55025012100,55055101201,0.00006494,0.17,population
55025012201,55025012201,1.00000000,2001.00,population
55025012202,55025012202,1.00000000,6774.00,population
55025012300,55025012300,0.99997521,5303.87,population
55025012300,55025012400,0.00002479,0.13,population
55025012400,55025012300,0.00003044,0.15,population
55025012400,55025012400,0.99996956,4804.85,population
55025012501,55025012501,1.00000000,6551.00,population
55025012502,55025012502,1.00000000,5166.00,population
55025012600,55025012400,0.00003639,0.16,population
55025012600,55025012600,0.99929375,4385.90,population
55025012600,55025012700,0.00009972,0.44,population
55025012600,55045960200,0.00033375,1.46,population
55025012600,55049950500,0.00023638,1.04,population
55025012700,55025010907,0.00007316,0.28,population
55025012700,55025012600,0.00022181,0.86,population
55025012700,55025012700,0.99949270,3865.04,population
55025012700,55025012900,0.00003392,0.13,population
55025012700,55025013100,0.00003447,0.13,population
55025012700,55049950500,0.00014395,0.56,population
55025012800,55025012800,1.00000000,7688.00,population
55025012900,55025010907,0.00025421,0.95,population
55025012900,55025012700,0.00001232,0.05,population
55025012900,55025012900,0.99941886,3743.82,population
55025012900,55025013100,0.00031460,1.18,population
55025013000,55025010908,0.00000899,0.04,population
55025013000,55025013000,0.99999101,4219.96,population
55025013100,55025012700,0.00011430,0.52,population
55025013100,55025013100,0.99972542,4561.75,population
55025013100,55049950100,0.00001393,0.06,population
55025013100,55111000700,0.00014634,0.67,population
55025013200,55021971000,0.00002903,0.25,population
55025013200,55021971100,0.00000070,0.01,population
55025013200,55025011201,0.00015991,1.37,population
55025013200,55025011202,0.00015391,1.32,population
55025013200,55025011301,0.00005184,0.44,population
55025013200,55025011700,0.00000370,0.03,population
55025013200,55025012900,0.00001221,0.10,population
55025013200,55025013201,0.39007715,3344.13,population
55025013200,55025013202,0.60950678,5225.30,population
55025013200,55025013302,0.00000478,0.04,population
55025013301,55025013202,0.00001512,0.07,population
55025013301,55025013301,0.99998488,4431.93,population
