geoid,county_name,urban_flag,low_access_1mi,low_access_10mi,low_income_low_access,snap_flag,population,poverty_rate
55009001702,Brown County,1,NULL,NULL,0,347,3529,30.9
55009001801,Brown County,1,1894,NULL,0,139,4971,11.1
55009001802,Brown County,1,4958,NULL,0,46,5449,3.8
55009002001,Brown County,1,645,NULL,0,412,8222,15.4
55009002002,Brown County,1,NULL,NULL,0,453,5157,8.4
55009002003,Brown County,1,3190,NULL,0,33,3278,4.3
55009010100,Brown County,1,32,NULL,0,179,6254,6.2
55009010201,Brown County,1,1977,NULL,0,122,4581,12.9
55009010202,Brown County,1,295,NULL,0,119,5002,6.5
55009010300,Brown County,1,2933,NULL,0,140,6892,6.4
55009020100,Brown County,0,0,0,0,79,5645,5.3
55009020203,Brown County,1,6185,NULL,0,161,6367,4
55009020204,Brown County,0,NULL,NULL,0,39,4979,2.3
55009020502,Brown County,1,1099,NULL,1,412,5306,17
55009020503,Brown County,1,3278,NULL,0,185,7705,6.4
55009020504,Brown County,1,4388,NULL,0,50,4388,2.1
55009020600,Brown County,0,NULL,NULL,0,81,5172,4.9
55009020702,Brown County,0,NULL,NULL,0,27,5884,3.1
55009020703,Brown County,1,3941,NULL,0,253,6963,6.8
55009020704,Brown County,1,3709,NULL,0,246,7710,11
55009020800,Brown County,1,11,NULL,0,50,2230,6
55009020900,Brown County,1,1429,NULL,0,41,2771,0.6
55009021000,Brown County,1,838,NULL,0,22,2731,4.6
55009021100,Brown County,1,830,NULL,0,0,1092,0
55009021200,Brown County,1,1624,NULL,0,27,5151,7.8
55009021301,Brown County,1,NULL,NULL,0,109,3305,10.1
55009021302,Brown County,1,2245,NULL,0,300,6183,4.1
55009021303,Brown County,1,593,NULL,1,339,3955,12.6
55009021304,Brown County,1,230,NULL,0,76,2117,6.8
55009021400,Brown County,0,NULL,NULL,0,146,7038,5.9
55009021500,Brown County,0,NULL,NULL,0,22,3118,2.5
55009021600,Brown County,0,NULL,NULL,0,116,5929,9.3
55009940001,Brown County,0,NULL,NULL,0,266,14585,5.7
55009940002,Brown County,1,4305,NULL,0,66,4729,6.9
55009940003,Brown County,1,1138,NULL,0,138,3298,12.2
55009940004,Brown County,1,NULL,NULL,0,85,2669,7.6
55011960100,Buffalo County,0,265,9.72,0,57,2726,12.3
55011960200,Buffalo County,0,NULL,NULL,0,120,2900,8.4
55011960300,Buffalo County,0,54,2.51,0,120,2163,10.7
55011960400,Buffalo County,0,2255,89.56,0,64,2518,7
55011960500,Buffalo County,0,592,18.04,0,105,3280,8.9
55013970400,Burnett County,0,1119,29.61,1,202,3780,11.7
55013970600,Burnett County,0,363,18.98,0,112,1913,14
55013970700,Burnett County,0,NULL,NULL,0,181,2489,13.5
55013970800,Burnett County,0,NULL,NULL,0,149,2329,18.4
55013970900,Burnett County,0,21,0.71,0,224,3019,15.2
55013971000,Burnett County,0,15,0.76,0,69,1927,8.5
55015020100,Calumet County,0,NULL,NULL,0,157,4634,6.6
55015020200,Calumet County,0,NULL,NULL,0,68,3908,4
55015020303,Calumet County,1,1461,NULL,1,109,3878,5.9
55015020304,Calumet County,1,812,NULL,1,185,3827,7.5
55015020306,Calumet County,0,NULL,NULL,0,22,6453,3.6
55015020308,Calumet County,1,2440,NULL,0,75,2997,4.7
55015020400,Calumet County,0,9,0.28,0,51,3421,5.6
55015020500,Calumet County,1,2526,NULL,1,85,5106,12.1
55015020600,Calumet County,0,NULL,NULL,0,94,5053,6.3
55015020700,Calumet County,1,2992,NULL,0,9,4136,0.9
55015020800,Calumet County,1,2126,NULL,0,77,5558,6.2
55017010100,Chippewa County,1,2835,NULL,0,188,3004,7.6
55017010200,Chippewa County,1,1868,NULL,0,328,6767,6.4
55017010300,Chippewa County,1,919,NULL,0,438,5465,18.6
55017010400,Chippewa County,0,NULL,NULL,0,87,4876,5.6
55017010500,Chippewa County,1,3088,NULL,1,443,5378,20.8
55017010700,Chippewa County,1,4363,NULL,0,102,7226,6.4
55017010800,Chippewa County,0,69,0.98,0,281,7061,14.3
55017010900,Chippewa County,0,214,4.43,0,175,4820,11.8
55017011000,Chippewa County,0,61,0.86,0,306,7085,14.7
55017011100,Chippewa County,0,333,8.17,0,154,4077,8.6
55017011200,Chippewa County,0,NULL,NULL,0,121,6656,6.6
55019950100,Clark County,0,NULL,NULL,0,177,4950,11.1
55019950200,Clark County,0,NULL,NULL,0,168,4520,12.7
55019950300,Clark County,0,NULL,NULL,0,168,4350,10.9
55019950400,Clark County,0,2428,60.88,0,94,3988,11.5
55019950500,Clark County,0,1947,36.89,0,154,5277,14.2
55019950600,Clark County,0,776,16.17,0,113,4797,14.9
55019950700,Clark County,0,NULL,NULL,0,181,3635,10.6
55019950800,Clark County,0,1229,38.74,1,97,3173,14.9
55021970100,Columbia County,0,16,0.39,0,148,4153,12
55021970200,Columbia County,0,NULL,NULL,0,205,5868,9
55021970300,Columbia County,0,NULL,NULL,0,309,4008,12.5
55021970400,Columbia County,1,4817,NULL,0,522,6557,12.6
55021970500,Columbia County,0,NULL,NULL,0,358,4316,14.9
55021970600,Columbia County,1,4630,NULL,0,81,4632,3.7
55021970700,Columbia County,0,NULL,NULL,0,148,4206,6.2
55021970800,Columbia County,0,NULL,NULL,0,257,5605,4.7
55021970900,Columbia County,0,NULL,NULL,0,51,4695,2.8
55021971000,Columbia County,0,NULL,NULL,0,144,3971,4.5
55021971100,Columbia County,0,NULL,NULL,0,123,3622,6.5
55021971200,Columbia County,1,2319,NULL,0,211,5200,8.6
55023960100,Crawford County,0,5,0.2,0,194,2802,16
55023960200,Crawford County,0,25,1.09,0,70,2291,10.7
55023960300,Crawford County,0,26,1.05,0,114,2486,7.8
55023960400,Crawford County,0,193,5.96,0,156,3233,11.7
55023960500,Crawford County,1,1994,NULL,1,164,1994,13.2
55023960600,Crawford County,1,1734,NULL,0,205,3838,16.6
55025000100,Dane County,1,1254,NULL,0,115,2604,7.7
55025000201,Dane County,1,1023,NULL,0,16,2149,5.4
55025000202,Dane County,1,93,NULL,0,51,3016,7.4
55025000204,Dane County,1,14,NULL,0,257,5012,15.6
55025000205,Dane County,1,2378,NULL,0,15,5131,1.5
55025000300,Dane County,1,NULL,NULL,0,222,5380,18.6
55025000401,Dane County,1,1399,NULL,0,18,3148,3.5
55025000402,Dane County,1,250,NULL,0,20,2451,5
55025000405,Dane County,1,446,NULL,0,155,5761,8.3
55025000406,Dane County,1,1928,NULL,0,64,2968,4
55025000407,Dane County,1,1538,NULL,1,344,5661,23.3
55025000408,Dane County,1,NULL,NULL,1,169,1685,14.2
55025000501,Dane County,1,1462,NULL,0,311,4670,19.4
55025000503,Dane County,1,525,NULL,0,232,7033,8.1
55025000504,Dane County,1,1898,NULL,0,13,6738,2.8
55025000600,Dane County,1,755,NULL,1,627,5647,20.2
55025000700,Dane County,1,118,NULL,0,46,3211,2.6
55025000800,Dane County,1,NULL,NULL,0,110,3557,13.4
55025000901,Dane County,1,NULL,NULL,0,11,2142,5.4
55025000902,Dane County,1,NULL,NULL,1,106,5310,39.1
55025001000,Dane County,1,493,NULL,0,15,2301,2.7
55025001101,Dane County,1,NULL,NULL,0,47,4197,82.1
55025001102,Dane County,1,NULL,NULL,1,0,3150,92.6
55025001200,Dane County,1,NULL,NULL,0,184,5890,38
55025001300,Dane County,1,NULL,NULL,0,196,2401,14.6
55025001401,Dane County,1,2026,NULL,1,922,5941,28
55025001402,Dane County,1,356,NULL,1,682,5373,21.1
55025001403,Dane County,1,1719,NULL,0,306,7672,14.5
55025001501,Dane County,1,3,NULL,1,181,1999,19.5
55025001502,Dane County,1,4901,NULL,1,339,5399,10.4
55025001603,Dane County,1,NULL,NULL,0,47,3414,86
55025001604,Dane County,1,NULL,NULL,0,40,5053,73.9
55025001605,Dane County,1,NULL,NULL,0,74,2389,36.1
55025001606,Dane County,1,NULL,NULL,0,23,5463,62.5
55025001704,Dane County,1,NULL,NULL,0,159,3434,20.7
55025001705,Dane County,1,NULL,NULL,1,47,4073,20.3
55025001802,Dane County,1,0,NULL,0,129,2784,13.2
55025001804,Dane County,1,1,NULL,1,154,3326,13.7
55025001900,Dane County,1,NULL,NULL,0,224,6114,11.1
55025002000,Dane County,1,NULL,NULL,0,442,5875,8
55025002100,Dane County,1,NULL,NULL,0,367,4850,10.4
55025002200,Dane County,1,NULL,NULL,1,407,4254,11.6
55025002301,Dane County,1,1988,NULL,1,307,2994,25.1
55025002302,Dane County,1,1810,NULL,0,54,1810,5.8
55025002401,Dane County,1,2810,NULL,1,93,3417,9.9
55025002402,Dane County,1,24,NULL,1,332,3407,28.7
55025002500,Dane County,1,22,NULL,1,152,1735,24.2
55025002601,Dane County,1,NULL,NULL,1,187,1809,24.4
55025002602,Dane County,1,2180,NULL,1,306,5576,12.3
55025002603,Dane County,1,93,NULL,0,366,5249,10
55025002700,Dane County,1,126,NULL,1,152,3166,10.9
55025002800,Dane County,1,2233,NULL,0,45,2233,4.7
55025002900,Dane County,1,1215,NULL,1,156,3175,11.6
55025003001,Dane County,1,1820,NULL,0,182,5134,9.1
55025003002,Dane County,1,414,NULL,1,333,3732,20.9
55025003100,Dane County,1,3926,NULL,0,184,6422,5.9
55025003200,Dane County,1,64,NULL,1,107,2778,21.3
55025010100,Dane County,1,NULL,NULL,0,19,1538,4.6
55025010200,Dane County,1,424,NULL,0,10,1268,0.7
55025010300,Dane County,1,3176,NULL,0,81,3404,4.5
55025010400,Dane County,1,634,NULL,0,104,3299,6.7
55025010501,Dane County,1,1768,NULL,0,13,2817,5.3
55025010502,Dane County,1,1687,NULL,0,191,7766,2.5
55025010600,Dane County,0,NULL,NULL,0,171,5141,4.7
55025010701,Dane County,1,4832,NULL,0,184,5952,4.3
55025010702,Dane County,1,2852,NULL,0,46,6290,2.8
55025010800,Dane County,1,3265,NULL,0,3,10625,1.8
55025010901,Dane County,1,3505,NULL,0,41,5652,3.9
55025010903,Dane County,1,2535,NULL,0,8,2541,2
55025010904,Dane County,0,NULL,NULL,0,45,8075,1.1
55025011000,Dane County,1,353,NULL,0,146,4172,7.1
55025011101,Dane County,1,NULL,NULL,1,268,4573,9.1
55025011102,Dane County,1,4579,NULL,0,177,8031,4.5
55025011200,Dane County,1,8401,NULL,0,114,8440,3.2
55025011301,Dane County,1,1066,NULL,0,196,6317,4.2
55025011302,Dane County,1,1628,NULL,0,117,3015,7.6
55025011401,Dane County,1,1421,NULL,0,94,6647,5
55025011402,Dane County,1,4044,NULL,0,187,9048,1.3
55025011503,Dane County,0,NULL,NULL,0,139,8527,3.7
55025011504,Dane County,1,10,NULL,0,181,3770,11.1
55025011505,Dane County,1,312,NULL,1,265,4264,21.7
55025011506,Dane County,1,14,NULL,1,278,4785,8.6
55025011600,Dane County,1,1418,NULL,0,299,6257,7.9
55025011700,Dane County,0,NULL,NULL,0,103,3900,7.9
55025011800,Dane County,1,5885,NULL,0,274,5890,13.4
55025011900,Dane County,0,NULL,NULL,0,247,6701,4.8
55025012001,Dane County,1,2616,NULL,0,177,8321,6.1
55025012002,Dane County,0,NULL,NULL,0,82,4804,4.8
55025012100,Dane County,0,NULL,NULL,0,52,2637,8.1
55025012201,Dane County,1,1668,NULL,1,91,2001,8.2
55025012202,Dane County,1,1877,NULL,0,340,6774,5.2
55025012300,Dane County,1,1897,NULL,0,206,5304,6.1
55025012400,Dane County,1,4714,NULL,0,53,4805,3.2
55025012501,Dane County,1,3889,NULL,0,277,6551,4.9
55025012502,Dane County,0,NULL,NULL,0,83,5166,4.4
55025012600,Dane County,0,47,1.06,0,97,4389,4.7
55025012700,Dane County,0,NULL,NULL,0,60,3867,2.8
55025012800,Dane County,1,3975,NULL,0,320,7688,5.5
55025012900,Dane County,0,NULL,NULL,0,47,3746,4.3
55025013000,Dane County,1,846,NULL,0,102,4220,2.4
55025013100,Dane County,0,4,0.09,0,172,4563,8
55025013200,Dane County,0,NULL,NULL,0,144,8573,2.1
55025013301,Dane County,1,1297,NULL,0,155,4432,13.3
55025013302,Dane County,1,626,NULL,0,29,5620,6.7
55025013700,Dane County,1,902,NULL,0,85,4644,4.8
55027960100,Dodge County,0,NULL,NULL,0,191,6008,6.9
55027960200,Dodge County,0,NULL,NULL,0,59,3171,5.1
55027960300,Dodge County,1,4649,NULL,0,441,8003,12.2
55027960400,Dodge County,0,NULL,NULL,0,108,4351,5.4
55027960500,Dodge County,0,NULL,NULL,0,184,3885,11.7
55027960600,Dodge County,0,NULL,NULL,0,123,3988,9.8
55027960700,Dodge County,1,309,NULL,0,207,4606,10.3
55027960800,Dodge County,1,2,NULL,0,118,3537,9.9
55027960900,Dodge County,1,425,NULL,0,359,4167,14.9
55027961000,Dodge County,0,NULL,NULL,0,367,4473,10.1
55027961100,Dodge County,1,1723,NULL,0,156,4550,10.4
55027961200,Dodge County,1,688,NULL,0,162,3342,13.7
55027961300,Dodge County,1,1191,NULL,0,356,5345,8
55027961400,Dodge County,0,NULL,NULL,0,90,4020,3.8
55027961500,Dodge County,0,NULL,NULL,0,61,5220,5.8
55027961600,Dodge County,0,NULL,NULL,0,110,4412,8.4
55027961700,Dodge County,0,NULL,NULL,0,43,3058,5.4
55027961800,Dodge County,0,NULL,NULL,0,151,4412,7.9
55027961900,Dodge County,1,1650,NULL,0,154,5784,6.6
55027962000,Dodge County,1,NULL,NULL,0,99,2427,7.6
55029100100,Door County,0,642,29.04,0,29,2212,7.5
55029100300,Door County,0,NULL,NULL,0,37,2384,7.8
55029100400,Door County,0,0,0,0,55,2559,4.3
55029100500,Door County,0,NULL,NULL,0,57,3287,5.9
55029100600,Door County,0,NULL,NULL,0,129,3337,9
55029100700,Door County,1,559,NULL,0,449,4707,13.2
55029100800,Door County,1,2879,NULL,0,239,5263,7.1
55029100900,Door County,0,NULL,NULL,0,30,1852,10.3
55029101000,Door County,0,0,0,0,50,2184,7.7
55031020300,Douglas County,1,392,NULL,1,316,2870,23.7
55031020400,Douglas County,1,1908,NULL,0,120,3189,8.2
55031020500,Douglas County,1,346,NULL,0,97,3090,10.7
55031020600,Douglas County,1,NULL,NULL,1,370,4438,14.2
55031020700,Douglas County,1,2244,NULL,0,237,4147,11.2
55031020800,Douglas County,1,224,NULL,0,161,3477,13.4
55031020900,Douglas County,1,37,NULL,0,136,2396,9.5
55031021000,Douglas County,1,1927,NULL,1,52,1955,11.4
55031021100,Douglas County,1,738,NULL,1,505,2257,36.8
55031030100,Douglas County,0,978,15.65,0,163,6247,8
55031030200,Douglas County,0,1058,21.05,0,126,5027,7.5
55031030300,Douglas County,0,3457,68.25,0,201,5066,10.5
55033970100,Dunn County,0,1900,48.99,0,137,3879,8.5
55033970200,Dunn County,0,26,0.54,0,283,4737,10
55033970300,Dunn County,0,NULL,NULL,0,202,5625,7
55033970400,Dunn County,0,600,9.84,0,226,6094,7.4
55033970500,Dunn County,1,2631,NULL,0,264,6373,8.8
55033970600,Dunn County,0,236,5.72,0,103,4128,6.7
55033970700,Dunn County,1,2797,NULL,0,380,6833,16.8
55033970800,Dunn County,1,228,NULL,1,305,6188,35.6
55035000100,Eau Claire County,0,263,5.45,0,274,4817,20.4
55035000200,Eau Claire County,0,4,0.07,0,176,4806,6.8
55035000301,Eau Claire County,0,NULL,NULL,0,148,3629,8.6
55035000302,Eau Claire County,1,3849,NULL,0,240,6638,8.7
55035000400,Eau Claire County,1,4233,NULL,0,368,7259,8.6
55035000501,Eau Claire County,1,4354,NULL,0,118,4864,2.4
55035000502,Eau Claire County,1,3369,NULL,0,248,4676,8.7
55035000600,Eau Claire County,1,1079,NULL,1,431,5107,10.2
55035000700,Eau Claire County,1,NULL,NULL,0,302,4999,9.5
55035000801,Eau Claire County,1,595,NULL,0,43,3544,1.6
55035000802,Eau Claire County,1,3127,NULL,0,153,3801,6.9
55035000803,Eau Claire County,1,389,NULL,1,409,5737,22.9
55035000900,Eau Claire County,1,599,NULL,1,232,4815,24.7
55035001101,Eau Claire County,1,10,NULL,1,230,1939,48
55035001200,Eau Claire County,1,615,NULL,1,254,5424,56.5
55035001300,Eau Claire County,1,2786,NULL,0,267,5131,13.3
55035001400,Eau Claire County,1,2938,NULL,0,309,6896,12.3
55035001500,Eau Claire County,1,3288,NULL,0,105,3288,6.9
55035001600,Eau Claire County,0,128,2.35,0,93,5449,3.5
55035001700,Eau Claire County,1,NULL,NULL,1,38,5917,23.4
55037190100,Florence County,0,115,4.43,0,180,2603,9.8
55037190200,Florence County,0,413,22.7,0,95,1820,9.8
55039040100,Fond du Lac County,1,538,NULL,0,93,4237,6.2
55039040200,Fond du Lac County,1,2723,NULL,1,235,3021,15
55039040300,Fond du Lac County,1,134,NULL,1,443,5619,19
55039040400,Fond du Lac County,1,53,NULL,0,91,2849,2.8
55039040500,Fond du Lac County,1,2989,NULL,1,732,3875,25.8
55039040700,Fond du Lac County,1,1973,NULL,0,255,4263,12.6
55039040800,Fond du Lac County,1,242,NULL,1,203,4571,11.2
55039040900,Fond du Lac County,1,1217,NULL,0,44,3263,6.6
55039041000,Fond du Lac County,1,309,NULL,0,89,2814,12.2
55039041100,Fond du Lac County,1,4215,NULL,0,274,9745,7.6
55039041300,Fond du Lac County,1,4762,NULL,1,292,6573,13.9
55039041400,Fond du Lac County,0,NULL,NULL,0,107,5893,5.2
55039041500,Fond du Lac County,1,788,NULL,0,244,3096,8.7
55039041600,Fond du Lac County,1,444,NULL,0,228,6037,13.1
55039041700,Fond du Lac County,0,NULL,NULL,0,69,3986,4.7
55039041800,Fond du Lac County,0,NULL,NULL,0,119,4851,5.1
55039041900,Fond du Lac County,0,0,0,0,167,7180,5.6
55039042000,Fond du Lac County,0,NULL,NULL,0,52,8718,3.3
55039042100,Fond du Lac County,0,708,14.36,0,49,4927,5.4
55039042200,Fond du Lac County,0,NULL,NULL,0,183,6115,4.7
55041950100,Forest County,0,575,45.66,1,69,1260,12.2
55041950200,Forest County,0,2541,90.54,1,121,2806,16.3
55041950300,Forest County,0,199,7.64,0,239,2608,16.1
55041950400,Forest County,0,233,8.84,0,232,2630,18.5
55043960100,Grant County,0,NULL,NULL,0,225,3656,13.8
55043960200,Grant County,1,1323,NULL,1,194,4376,8.6
55043960300,Grant County,0,NULL,NULL,0,187,4116,13.2
55043960400,Grant County,0,1432,40.81,0,134,3509,13.4
55043960500,Grant County,0,86,2.23,0,117,3864,13.7
55043960600,Grant County,0,NULL,NULL,0,78,3784,10
55043960700,Grant County,1,350,NULL,0,190,4075,11
55043960800,Grant County,0,1425,46.93,0,68,3037,7.7
55043960900,Grant County,1,803,NULL,1,321,4245,36.7
55043961000,Grant County,1,704,NULL,1,130,7749,21.8
55043961100,Grant County,0,11,0.26,0,146,4462,6.6
55043961200,Grant County,0,NULL,NULL,0,84,4335,10.7
55045960100,Green County,0,NULL,NULL,0,165,6379,4.2
55045960200,Green County,0,174,3.07,0,85,5684,5.7
55045960300,Green County,0,NULL,NULL,0,131,4828,6.7
55045960400,Green County,1,629,NULL,1,292,4380,8.2
55045960500,Green County,1,1106,NULL,1,303,3950,14.2
55045960600,Green County,1,1545,NULL,0,130,3282,5.6
55045960700,Green County,0,4,0.11,0,101,3997,8.8
55045960800,Green County,1,1029,NULL,1,275,4342,10.5
55047100100,Green Lake County,1,889,NULL,0,212,3208,13
55047100200,Green Lake County,1,398,NULL,0,195,2996,14.2
55047100300,Green Lake County,0,NULL,NULL,0,181,3039,11
55047100400,Green Lake County,0,NULL,NULL,0,95,2837,7.9
55047100500,Green Lake County,0,299,9.73,0,87,3073,9.7
55047100600,Green Lake County,0,NULL,NULL,0,94,3898,10.5
55049950100,Iowa County,0,251,6.7,0,148,3753,9.6
55049950200,Iowa County,0,43,1.37,0,184,3147,11.3
55049950300,Iowa County,0,NULL,NULL,0,129,3248,9
55049950400,Iowa County,1,486,NULL,0,305,5288,6.6
55049950500,Iowa County,0,1257,26.44,0,112,4755,4.2
55049950600,Iowa County,0,NULL,NULL,0,136,3496,7.8
55051180100,Iron County,0,NULL,NULL,0,232,2514,19.9
55051180200,Iron County,0,415,27.79,0,101,1493,12.5
55051180300,Iron County,0,182,9.51,0,109,1909,10.3
55053960100,Jackson County,0,813,20.39,1,181,3987,15.4
55053960200,Jackson County,0,403,12.22,0,174,3293,8.1
55053960300,Jackson County,0,1962,48.11,0,178,4077,10.6
55053960400,Jackson County,0,2385,55.89,0,128,4268,9.9
55053960500,Jackson County,1,1244,NULL,0,396,4824,15.3
55055100100,Jefferson County,1,1786,NULL,0,300,5794,14.5
55055100200,Jefferson County,1,NULL,NULL,1,276,3660,16.4
55055100300,Jefferson County,1,826,NULL,0,232,6312,7.6
55055100400,Jefferson County,0,NULL,NULL,0,126,5816,4.6
55055100500,Jefferson County,1,1261,NULL,0,226,6350,7.4
55055100601,Jefferson County,0,NULL,NULL,0,58,1535,5.5
55055100602,Jefferson County,0,NULL,NULL,0,105,3299,3
55055100700,Jefferson County,0,NULL,NULL,0,97,4630,4.9
55055100800,Jefferson County,0,NULL,NULL,0,114,4006,8.5
55055100900,Jefferson County,0,NULL,NULL,0,71,3868,5
55055101000,Jefferson County,1,1020,NULL,0,149,3881,10.7
55055101100,Jefferson County,1,21,NULL,0,188,4477,6.4
55055101201,Jefferson County,0,NULL,NULL,0,35,2190,8.2
55055101202,Jefferson County,0,NULL,NULL,0,21,1612,6.3
55055101300,Jefferson County,1,137,NULL,0,389,5795,14.3
55055101400,Jefferson County,1,2002,NULL,0,177,3453,17.3
55055101500,Jefferson County,1,943,NULL,0,240,3959,7.8
55055101600,Jefferson County,0,NULL,NULL,0,132,6925,12.4
55055101701,Jefferson County,0,NULL,NULL,0,32,1385,7.7
55055101702,Jefferson County,0,NULL,NULL,0,66,4739,5.9
55057100100,Juneau County,0,2531,88.08,0,229,2874,14
55057100200,Juneau County,0,1227,33.45,0,174,3669,12.2
55057100300,Juneau County,0,1583,48.76,1,202,3246,22.7
55057100400,Juneau County,0,1,0.01,0,245,5169,13.2
55057100500,Juneau County,1,1383,NULL,1,220,4286,14.5
55057100600,Juneau County,0,NULL,NULL,0,196,3383,8.6
55057100700,Juneau County,0,52,1.28,0,154,4037,14.4
55059000100,Kenosha County,0,NULL,NULL,0,456,5770,22.4
55059000300,Kenosha County,1,4198,NULL,1,343,4973,24.7
55059000400,Kenosha County,1,3075,NULL,0,109,3620,10
55059000500,Kenosha County,1,288,NULL,0,389,5267,11.7
55059000601,Kenosha County,0,NULL,NULL,0,98,6602,5
55059000602,Kenosha County,1,114,NULL,0,300,7910,8.5
55059000700,Kenosha County,1,42,NULL,1,590,5530,28.6
55059000800,Kenosha County,1,796,NULL,1,319,2704,28.1
55059000900,Kenosha County,1,4041,NULL,1,485,4251,28.7
55059001000,Kenosha County,1,2313,NULL,1,251,2313,18.6
55059001100,Kenosha County,1,1760,NULL,1,563,3219,41.7
55059001200,Kenosha County,1,71,NULL,1,438,4078,29
55059001300,Kenosha County,1,142,NULL,1,478,4136,19.6
55059001400,Kenosha County,1,NULL,NULL,0,128,7144,6.4
55059001500,Kenosha County,1,NULL,NULL,1,198,3738,12.8
55059001600,Kenosha County,1,975,NULL,1,381,3436,27.2
55059001700,Kenosha County,1,250,NULL,1,281,2665,21.3
55059001800,Kenosha County,1,1913,NULL,1,252,2298,21.2
55059001900,Kenosha County,1,2185,NULL,0,127,2351,14.3
55059002000,Kenosha County,1,5825,NULL,0,70,5870,7.1
55059002100,Kenosha County,1,1344,NULL,1,464,5246,25.5
55059002200,Kenosha County,1,NULL,NULL,1,175,3562,17.4
55059002300,Kenosha County,1,808,NULL,0,238,5955,11.9
55059002400,Kenosha County,1,816,NULL,0,249,4720,12.8
55059002500,Kenosha County,1,679,NULL,0,91,3478,4.9
55059002601,Kenosha County,1,546,NULL,0,205,8493,5.4
55059002602,Kenosha County,1,5530,NULL,0,174,8602,5.7
55059002700,Kenosha County,0,NULL,NULL,0,76,5517,4
55059002800,Kenosha County,0,NULL,NULL,0,182,6335,9.3
55059002903,Kenosha County,1,3149,NULL,0,96,3210,3.1
55059002904,Kenosha County,1,5379,NULL,0,228,5500,9.7
55059002905,Kenosha County,1,1316,NULL,0,147,3874,8.3
55059002906,Kenosha County,0,NULL,NULL,0,157,4884,8.3
55059003001,Kenosha County,0,NULL,NULL,0,93,4312,6.7
55059003002,Kenosha County,0,NULL,NULL,0,212,4863,12.4
55061960100,Kewaunee County,1,86,NULL,0,194,3162,11.2
55061960200,Kewaunee County,0,NULL,NULL,0,55,2647,9.8
55061960400,Kewaunee County,0,NULL,NULL,0,149,8589,6.4
55061960500,Kewaunee County,0,NULL,NULL,0,216,6176,9.4
55063000100,La Crosse County,1,8,NULL,0,217,4712,6.6
55063000200,La Crosse County,1,14,NULL,1,472,5077,21.9
55063000300,La Crosse County,1,0,NULL,0,237,2292,36.1
55063000400,La Crosse County,1,NULL,NULL,0,364,5498,68.6
55063000500,La Crosse County,1,633,NULL,1,89,4773,66.9
