district_code,school_code,school_name,enrollment,chronic_absence_rate,pct_econ_disadvantaged,pct_students_with_disabilities,pct_ell,pct_white,pct_black,pct_hispanic
3969,,[Districtwide],443,,48.08,17.16,,92.33,0.90,2.48
2177,,[Districtwide],1089,,20.20,13.22,1.65,54.91,22.96,9.92
3976,,[Districtwide],33,,,60.61,3.03,39.39,51.52,9.09
4690,,[Districtwide],201,,11.94,13.93,,95.52,,3.98
2016,,[Districtwide],400,,62.50,18.50,0.75,90.25,1.75,5.00
3983,,[Districtwide],1567,,48.18,17.61,12.76,67.45,1.47,24.44
3514,,[Districtwide],331,,1.81,8.46,,90.33,0.91,2.42
0616,,[Districtwide],153,,37.91,15.03,,94.77,,2.61
1945,,[Districtwide],1117,,30.44,12.00,2.78,84.69,2.86,7.61
1526,,[Districtwide],1391,,47.45,13.23,0.79,88.64,0.72,5.46
3654,,[Districtwide],313,,,15.65,1.60,86.26,0.32,5.43
3990,,[Districtwide],576,,53.82,18.06,8.68,78.99,0.69,18.23
4011,,[Districtwide],80,,32.50,11.25,2.50,80.00,,17.50
4018,,[Districtwide],6510,,33.47,11.04,8.62,64.41,5.05,16.96
4025,,[Districtwide],527,,24.86,12.33,1.14,89.18,0.76,4.93
4060,,[Districtwide],5015,,17.37,12.12,1.62,88.93,1.22,5.86
4074,,[Districtwide],1695,,39.06,16.70,1.06,89.20,0.12,4.07
4067,,[Districtwide],959,,48.49,15.85,0.42,90.30,0.31,5.01
4088,,[Districtwide],1107,,27.91,13.82,1.63,88.53,0.72,6.41
4095,,[Districtwide],3007,,32.09,11.71,5.29,70.10,1.56,5.79
8005,,[Districtwide],455,,50.77,1.98,2.42,10.99,58.68,17.58
4137,,[Districtwide],1006,,18.79,10.44,3.38,86.58,0.50,9.34
4144,,[Districtwide],4114,,14.34,11.93,2.31,84.93,1.63,7.27
4165,,[Districtwide],1594,,29.30,13.30,,91.78,0.31,3.83
4179,,[Districtwide],9149,,44.46,15.96,6.34,68.03,7.87,7.80
4186,,[Districtwide],806,,43.80,19.73,0.74,90.94,0.74,3.60
4207,,[Districtwide],446,,54.26,17.26,5.38,83.63,0.67,12.33
4221,,[Districtwide],574,,35.71,16.03,2.96,83.10,1.74,12.37
4228,,[Districtwide],865,,36.65,8.67,0.12,93.53,0.46,2.66
4235,,[Districtwide],261,,11.11,9.96,,86.59,0.38,8.43
4151,,[Districtwide],853,,43.26,13.36,0.70,91.68,0.47,3.75
8017,,[Districtwide],145,,67.59,17.24,0.69,28.97,53.79,7.59
0490,,[Districtwide],391,,31.97,14.58,0.26,98.47,0.26,0.77
8016,,[Districtwide],121,,58.68,28.10,,14.05,64.46,3.31
4270,,[Districtwide],234,,23.93,16.67,,93.16,,5.13
4305,,[Districtwide],1079,,35.40,13.35,0.46,92.31,0.28,3.71
4312,,[Districtwide],2948,,12.86,11.43,1.59,79.58,2.14,5.36
4330,,[Districtwide],85,,52.94,11.76,,90.59,1.18,2.35
4347,,[Districtwide],719,,47.71,17.66,1.95,90.40,0.70,3.34
4368,,[Districtwide],562,,39.15,12.63,1.25,90.93,0.18,5.34
4389,,[Districtwide],1576,,40.67,13.71,2.86,81.03,5.20,5.90
4459,,[Districtwide],240,,32.92,18.75,5.42,84.58,,10.83
4473,,[Districtwide],2110,,28.39,14.22,1.80,87.54,1.09,6.26
4508,,[Districtwide],447,,46.76,14.32,0.22,85.01,1.57,3.58
4515,,[Districtwide],2519,,25.41,16.04,1.11,83.05,2.94,7.46
4501,,[Districtwide],2116,,39.98,16.21,2.36,82.37,1.98,10.07
4529,,[Districtwide],314,,28.03,15.61,,93.95,1.59,3.18
4536,,[Districtwide],1001,,25.27,12.99,0.40,92.41,0.90,3.30
4543,,[Districtwide],986,,57.71,15.62,0.10,91.38,0.71,3.14
4557,,[Districtwide],380,,47.11,20.26,0.26,96.32,,1.84
4571,,[Districtwide],361,,51.52,22.16,,93.91,0.55,2.22
4578,,[Districtwide],1243,,17.06,14.24,0.16,92.44,0.72,2.90
4606,,[Districtwide],318,,54.72,18.87,,94.97,,4.09
4613,,[Districtwide],3775,,20.77,14.94,1.19,89.09,0.74,3.74
8010,,[Districtwide],517,,12.57,9.09,0.97,5.80,62.48,23.21
4620,,[Districtwide],16182,,61.55,17.33,11.69,33.95,24.98,31.73
4627,,[Districtwide],625,,28.48,12.80,0.32,92.96,0.32,5.28
4634,,[Districtwide],522,,36.97,15.71,1.15,87.16,0.77,9.96
4641,,[Districtwide],687,,30.86,12.95,2.18,88.36,0.73,6.99
4686,,[Districtwide],428,,19.63,16.12,,85.98,0.47,9.81
4753,,[Districtwide],2650,,46.23,19.62,5.21,81.92,1.47,11.36
4760,,[Districtwide],584,,33.22,18.66,8.39,83.90,,13.01
4781,,[Districtwide],2288,,50.57,14.16,0.17,89.34,1.75,3.06
4795,,[Districtwide],478,,46.23,15.90,3.14,89.75,1.26,6.28
4802,,[Districtwide],2186,,41.45,16.33,1.46,87.69,0.55,5.95
4851,,[Districtwide],1139,,63.30,18.96,3.16,83.58,1.67,9.92
3122,,[Districtwide],407,,1.47,12.53,0.25,91.15,,3.44
4865,,[Districtwide],360,,37.22,20.56,,93.89,0.83,2.50
4872,,[Districtwide],1694,,34.53,13.93,3.13,85.54,1.00,9.50
4893,,[Districtwide],3488,,20.38,12.44,1.38,87.64,1.52,5.25
4904,,[Districtwide],524,,44.66,15.84,2.29,90.46,0.57,6.11
5523,,[Districtwide],1109,,34.63,15.69,1.80,92.43,0.63,4.06
3850,,[Districtwide],653,,53.75,22.05,0.46,90.66,1.68,2.60
8002,,[Districtwide],713,,84.43,14.45,33.52,2.95,36.04,57.92
4956,,[Districtwide],959,,18.67,13.87,0.83,93.01,0.63,4.07
4963,,[Districtwide],475,,26.95,17.89,0.84,95.79,0.21,3.16
1673,,[Districtwide],469,,52.24,15.35,0.43,91.68,0.43,4.48
2422,,[Districtwide],1866,,21.76,13.83,1.66,89.17,0.75,4.98
5019,,[Districtwide],1075,,36.09,13.12,1.12,92.19,0.19,3.16
5026,,[Districtwide],1066,,51.41,14.92,6.66,48.97,7.97,32.55
5068,,[Districtwide],1000,,35.80,13.00,2.30,84.90,2.00,9.50
5100,,[Districtwide],2720,,31.40,12.06,4.93,86.43,0.92,9.85
8001,,[Districtwide],1181,,76.29,12.36,22.69,5.76,14.48,77.82
5124,,[Districtwide],255,,51.76,10.20,,94.90,0.39,1.18
5130,,[Districtwide],597,,33.33,15.24,5.19,82.91,0.84,12.56
5138,,[Districtwide],1928,,35.17,13.43,1.30,77.28,0.41,6.12
5258,,[Districtwide],208,,55.29,22.60,6.73,73.08,,25.00
5264,,[Districtwide],2238,,50.67,15.50,1.03,60.90,0.54,7.24
5271,,[Districtwide],9477,,59.30,18.02,17.87,46.68,4.62,21.91
5278,,[Districtwide],1581,,30.23,16.95,2.28,83.74,1.20,7.15
5306,,[Districtwide],636,,60.06,13.84,0.94,89.31,0.31,4.09
5348,,[Districtwide],732,,35.38,13.93,4.23,86.34,0.27,11.34
5355,,[Districtwide],1933,,23.02,10.40,4.40,64.20,10.92,9.36
5362,,[Districtwide],315,,46.67,13.97,6.67,85.71,,14.29
5369,,[Districtwide],438,,35.16,16.67,0.91,84.02,0.91,10.05
5376,,[Districtwide],414,,75.36,20.77,,59.42,0.48,3.38
5390,,[Districtwide],3350,,17.16,8.39,1.22,90.06,1.01,4.75
5397,,[Districtwide],307,,50.81,18.24,0.33,94.79,0.65,0.33
5432,,[Districtwide],1463,,24.68,14.56,0.48,90.09,0.89,4.78
5439,,[Districtwide],2773,,55.50,17.60,5.77,57.63,6.31,27.37
4522,,[Districtwide],198,,53.54,15.15,,88.38,1.01,2.53
5457,,[Districtwide],995,,38.39,15.38,2.81,89.65,0.50,6.03
2485,,[Districtwide],529,,30.43,18.53,1.51,94.33,1.70,3.40
5460,,[Districtwide],2841,,53.29,18.83,7.78,75.61,1.76,17.49
